Food ID,Business Name,URL Link
2,Penyet Town,https://www.google.com/maps/place/Penyet+Town/data=!4m7!3m6!1s0x31da18171cbcd97b:0x64aca3a6d8c6b822!8m2!3d1.3148076!4d103.8949171!16s%2Fg%2F11cn5ms_mh!19sChIJe9m8HBcY2jERIrjG2KajrGQ?authuser=0&hl=en&rclk=1
2,Sri Ayam Penyet,https://www.google.com/maps/place/Sri+Ayam+Penyet/data=!4m7!3m6!1s0x31da16c4a7cb7603:0x3ef3a4e5f46f977b!8m2!3d1.3740985!4d103.8389256!16s%2Fg%2F11cs3gjzty!19sChIJA3bLp8QW2jERe5dv9OWk8z4?authuser=0&hl=en&rclk=1
2,Papa Ayam 313@somerset,https://www.google.com/maps/place/Papa+Ayam+313@somerset/data=!4m7!3m6!1s0x31da19e5146d7b03:0x7ee1e5bc6a297ab7!8m2!3d1.3010517!4d103.8384228!16s%2Fg%2F11h3c4nv3l!19sChIJA3ttFOUZ2jERt3oparzl4X4?authuser=0&hl=en&rclk=1
2,Penyet & Grilled,https://www.google.com/maps/place/Penyet+%26+Grilled/data=!4m7!3m6!1s0x31da1bd94bbb7b8b:0xd22e1f653093c9cd!8m2!3d1.2900355!4d103.817095!16s%2Fg%2F11m_jx5bg1!19sChIJi3u7S9kb2jERzcmTMGUfLtI?authuser=0&hl=en&rclk=1
2,Effandi Food Corner,https://www.google.com/maps/place/Effandi+Food+Corner/data=!4m7!3m6!1s0x31da18324db8140d:0x678317fbc61a9cff!8m2!3d1.3148526!4d103.8717706!16s%2Fg%2F11fs2lpyf6!19sChIJDRS4TTIY2jER_5waxvsXg2c?authuser=0&hl=en&rclk=1
2,Tambuah Mas,https://www.google.com/maps/place/Tambuah+Mas/data=!4m7!3m6!1s0x31da1992320efb97:0x4f68b1b22f90990f!8m2!3d1.3036434!4d103.8349946!16s%2Fg%2F1tj86z1_!19sChIJl_sOMpIZ2jERD5mQL7KxaE8?authuser=0&hl=en&rclk=1
2,Ayam Penyet President,https://www.google.com/maps/place/Ayam+Penyet+President/data=!4m7!3m6!1s0x31da184bf707737b:0x98815478049bdae2!8m2!3d1.3035805!4d103.8723562!16s%2Fg%2F11b8v87958!19sChIJe3MH90sY2jER4tqbBHhUgZg?authuser=0&hl=en&rclk=1
2,Ayam Penyet No.1,https://www.google.com/maps/place/Ayam+Penyet+No.1/data=!4m7!3m6!1s0x31da22d6b08e8919:0x69919c1f80185d31!8m2!3d1.3203071!4d103.9556133!16s%2Fg%2F11c1_v_92h!19sChIJGYmOsNYi2jERMV0YgB-ckWk?authuser=0&hl=en&rclk=1
2,Ayam Penyet President Express - Midtown Hougang,https://www.google.com/maps/place/Ayam+Penyet+President+Express+-+Midtown+Hougang/data=!4m7!3m6!1s0x31da174885b3d3e3:0xd3bc9cf221aa58d3!8m2!3d1.3704016!4d103.8949081!16s%2Fg%2F11lgdqvfwh!19sChIJ49OzhUgX2jER01iqIfKcvNM?authuser=0&hl=en&rclk=1
2,Ayam Penyet President - Lucky Plaza,https://www.google.com/maps/place/Ayam+Penyet+President+-+Lucky+Plaza/data=!4m7!3m6!1s0x31da1992129014d1:0x869f55c820947fad!8m2!3d1.3045795!4d103.8340621!16s%2Fg%2F1tdd2smt!19sChIJ0RSQEpIZ2jERrX-UIMhVn4Y?authuser=0&hl=en&rclk=1
3,D'Penyetz Lorong Chuan,https://www.google.com/maps/place/D%27Penyetz+Lorong+Chuan/data=!4m7!3m6!1s0x31da1750bdf39553:0x9829e7011a2388d6!8m2!3d1.3512459!4d103.8616769!16s%2Fg%2F11r36grjtf!19sChIJU5XzvVAX2jER1ogjGgHnKZg?authuser=0&hl=en&rclk=1
3,Chef Didi Diny Kitchen Ayam Penyet,https://www.google.com/maps/place/Chef+Didi+Diny+Kitchen+Ayam+Penyet/data=!4m7!3m6!1s0x31da174348588a3b:0xc4580d9757600da4!8m2!3d1.3526598!4d103.8598608!16s%2Fg%2F11rs03q2kd!19sChIJO4pYSEMX2jERpA1gV5cNWMQ?authuser=0&hl=en&rclk=1
3,Sri Ayam Penyet,https://www.google.com/maps/place/Sri+Ayam+Penyet/data=!4m7!3m6!1s0x31da16c4a7cb7603:0x3ef3a4e5f46f977b!8m2!3d1.3740985!4d103.8389256!16s%2Fg%2F11cs3gjzty!19sChIJA3bLp8QW2jERe5dv9OWk8z4?authuser=0&hl=en&rclk=1
